14-1203209;1203209;Итого
14-848223;848223;ОБЩЕГОСУДАРСТВЕННЫЕ ВОПРОСЫ
14-413272;413272;Функционирование Президента Российской Федерации
14-342647;342647;Функционирование высшего должностного лица субъекта Российской Федерации и муниципального образования
14-413273;413273;Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований
14-413274;413274;Функционирование Правительства Российской Федерации, высших исполнительных органов государственной власти субъектов Российской Федерации, местных администраций
14-413275;413275;Судебная система
14-413276;413276;Обеспечение деятельности финансовых, налоговых и таможенных органов и органов финансового (финансово-бюджетного) надзора
14-413277;413277;Обеспечение проведения выборов и референдумов
14-413278;413278;Международные отношения и международное сотрудничество
14-413279;413279;Государственный материальный резерв
14-848224;848224;Фундаментальные исследования
14-413281;413281;Резервные фонды
14-413282;413282;Прикладные научные исследования в области общегосударственных вопросов
14-848249;848249;Другие общегосударственные вопросы
14-413284;413284;НАЦИОНАЛЬНАЯ ОБОРОНА
14-413285;413285;Вооруженные Силы Российской Федерации
14-413286;413286;Мобилизационная и вневойсковая подготовка
14-413287;413287;Мобилизационная подготовка экономики
14-413288;413288;Ядерно-оружейный комплекс
14-413289;413289;Реализация международных обязательств в сфере военно-технического сотрудничества
14-413290;413290;Прикладные научные исследования в области национальной обороны
14-413291;413291;Другие вопросы в области национальной обороны
14-850484;850484;НАЦИОНАЛЬНАЯ БЕЗОПАСНОСТЬ И ПРАВООХРАНИТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ
14-413293;413293;Органы прокуратуры и следствия
14-413294;413294;Органы внутренних дел
14-853732;853732;Внутренние войска
14-413296;413296;Органы юстиции
14-855436;855436;Система исполнения наказаний
14-854333;854333;Органы безопасности
14-854342;854342;Органы пограничной службы
14-854482;854482;Органы по контролю за оборотом наркотических средств и психотропных веществ
14-108129;108129;Защита населения и территории от чрезвычайных ситуаций природного и техногенного характера, гражданская оборона
14-852920;852920;Обеспечение пожарной безопасности
14-850760;850760;Миграционная политика
14-1203368;1203368;Модернизация внутренних войск, спасательных воинских формирований федерального органа исполнительной власти, уполномоченного на решение задач в области гражданской обороны, а также правоохранительных и иных органов
14-853005;853005;Прикладные научные исследования в области национальной безопасности и правоохранительной деятельности
14-850485;850485;Другие вопросы в области национальной безопасности и правоохранительной деятельности
14-848398;848398;НАЦИОНАЛЬНАЯ ЭКОНОМИКА
14-848399;848399;Общеэкономические вопросы
14-1203160;1203160;Топливно-энергетический комплекс
14-850771;850771;Исследование и использование космического пространства
14-857652;857652;Воспроизводство минерально-сырьевой базы
14-850172;850172;Сельское хозяйство и рыболовство
14-849065;849065;Водное хозяйство
14-849070;849070;Лесное хозяйство
14-851151;851151;Транспорт
14-1203167;1203167;Дорожное хозяйство (дорожные фонды)
14-1203168;1203168;Связь и информатика
14-1203169;1203169;Прикладные научные исследования в области национальной экономики
14-848501;848501;Другие вопросы в области национальной экономики
14-848260;848260;ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО
14-848261;848261;Жилищное хозяйство
14-850428;850428;Коммунальное хозяйство
14-1203187;1203187;Благоустройство
14-881303;881303;Прикладные научные исследования в области жилищно-коммунального хозяйства
14-849768;849768;Другие вопросы в области жилищно-коммунального хозяйства
14-1203414;1203414;ОХРАНА ОКРУЖАЮЩЕЙ СРЕДЫ
14-1203191;1203191;Экологический контроль
14-872910;872910;Сбор, удаление отходов и очистка сточных вод
14-872691;872691;Охрана объектов растительного и животного мира и среды их обитания
14-872714;872714;Прикладные научные исследования в области охраны окружающей среды
14-848836;848836;Другие вопросы в области охраны окружающей среды
14-848266;848266;ОБРАЗОВАНИЕ
14-848267;848267;Дошкольное образование
14-849320;849320;Общее образование
14-343261;343261;Начальное профессиональное образование
14-848274;848274;Среднее профессиональное образование
14-849333;849333;Профессиональная подготовка, переподготовка и повышение квалификации
14-873227;873227;Высшее и послевузовское профессиональное образование
14-850050;850050;Молодежная политика и оздоровление детей
14-849520;849520;Прикладные научные исследования в области образования
14-849303;849303;Другие вопросы в области образования
14-848294;848294;КУЛЬТУРА, КИНЕМАТОГРАФИЯ
14-848295;848295;Культура
14-873473;873473;Кинематография
14-873499;873499;Прикладные научные исследования в области культуры, кинематографии
14-873512;873512;Другие вопросы в области культуры, кинематографии
14-848302;848302;ЗДРАВООХРАНЕНИЕ
14-872659;872659;Стационарная медицинская помощь
14-848317;848317;Амбулаторная помощь
14-343881;343881;Медицинская помощь в дневных стационарах всех типов
14-108717;108717;Скорая медицинская помощь
14-349151;349151;Санаторно-оздоровительная помощь
14-349155;349155;Заготовка, переработка, хранение и обеспечение безопасности донорской крови и ее компонентов
14-349159;349159;Санитарно-эпидемиологическое благополучие
14-849621;849621;Прикладные научные исследования в области здравоохранения
14-349163;349163;Другие вопросы в области здравоохранения
14-848345;848345;СОЦИАЛЬНАЯ ПОЛИТИКА
14-349188;349188;Пенсионное обеспечение
14-349196;349196;Социальное обслуживание населения
14-848346;848346;Социальное обеспечение населения
14-874840;874840;Охрана семьи и детства
14-851908;851908;Прикладные научные исследования в области социальной политики
14-849729;849729;Другие вопросы в области социальной политики
14-1203401;1203401;ФИЗИЧЕСКАЯ КУЛЬТУРА И СПОРТ
14-850455;850455;Физическая культура
14-866083;866083;Массовый спорт
14-850952;850952;Спорт высших достижений
14-413257;413257;Прикладные научные исследования в области физической культуры и спорта
14-413258;413258;Другие вопросы в области физической культуры и спорта
14-413259;413259;Средства массовой информации
14-413260;413260;Телевидение и радиовещание
14-851607;851607;Периодическая печать и издательства
14-413262;413262;Прикладные научные исследования в области средств массовой информации
14-413263;413263;Другие вопросы в области средств массовой информации
14-413264;413264;Обслуживание государственного и муниципального долга
14-413265;413265;Обслуживание государственного внутреннего и муниципального долга
14-413266;413266;Обслуживание государственного внешнего долга
14-413267;413267;Межбюджетные трансферты общего характера бюджетам субъектов Российской Федерации и муниципальных образований
14-413268;413268;Дотации на выравнивание бюджетной обеспеченности субъектов Российской Федерации и муниципальных образований
14-413269;413269;Иные дотации
14-413270;413270;Прочие межбюджетные трансферты общего характера
14-1203208;1203208;Код не определен
14-1203195;1203195;Условно утвержденные расходы
14-107937;107937;Расходы бюджета - ИТОГО
